DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
0,0,0,0,0,1,0,0,1277,1,450.45,FALSE,FALSE,110,Y,Y,Business/Commercial,35.95
1,0,0,0,0,0,0,0,3104,1,375.55,FALSE,FALSE,10,Y,Y,Business/Commercial,24.916667
2,0,0,0,0,0,0,0,1313,2,501.33,FALSE,FALSE,16,N,Y,Business/Commercial,40.116667
1,0,0,0,0,0,0,0,997,1,113.65,FALSE,FALSE,27,Y,Y,Business/Commercial,24.833333
1,0,0,0,0,0,0,0,1052,2,537.55,FALSE,FALSE,23,Y,Y,Business/Commercial,32.583333
3,0,0,0,0,0,0,0,1401,3,314.95,FALSE,FALSE,122,Y,N,Business/Commercial,48.15
1,0,0,0,0,0,0,0,457,1,426.78,FALSE,FALSE,19,Y,Y,Business/Commercial,27.533333
1,0,0,0,0,0,0,0,2117,1,93.29,FALSE,FALSE,17,Y,Y,Business/Commercial,25.066667
0,0,0,0,0,1,0,0,2647,2,504.66,FALSE,FALSE,77,Y,Y,Business/Commercial,27.8
0,0,0,0,0,1,0,0,874,1,485.42,FALSE,FALSE,52,Y,Y,Business/Commercial,25.05
1,0,0,0,0,0,0,0,784,1,141.85,FALSE,FALSE,52,Y,Y,Business/Commercial,26.716667
1,0,0,0,0,0,0,0,583,1,376.11,FALSE,FALSE,18,Y,Y,Business/Commercial,22.133333
2,0,0,0,0,0,0,0,6688,3,392.29,FALSE,FALSE,40,Y,Y,Business/Commercial,28.95
1,0,0,0,0,0,0,0,1008,1,108.97,FALSE,FALSE,24,Y,N,Business/Commercial,20.916667
1,0,0,0,0,0,0,0,587,1,340.4,FALSE,FALSE,37,N,Y,Business/Commercial,33.216667
1,0,0,0,0,0,0,0,1216,1,126.73,FALSE,FALSE,15,Y,Y,Business/Commercial,15.383333
3,0,0,0,0,0,0,0,10586,12,771.66,FALSE,FALSE,244,Y,Y,Business/Commercial,24.95
0,0,0,0,0,2,0,0,9929,8,635.6,FALSE,FALSE,51,Y,Y,Business/Commercial,70.816667
0,0,0,0,0,4,0,0,2588,7,197.56,FALSE,FALSE,54,Y,Y,Business/Commercial,51.55
1,0,0,0,0,0,0,0,1378,1,253.66,FALSE,FALSE,167,Y,Y,Business/Commercial,20.45
0,0,0,0,0,3,0,0,1173,3,70.04,FALSE,FALSE,79,Y,Y,Business/Commercial,34.666667
0,0,0,0,0,8,0,0,1612,7,585.94,FALSE,FALSE,135,Y,Y,Business/Commercial,43.1
1,0,0,0,0,0,0,0,1684,1,299.55,FALSE,FALSE,6,U,N,U,19
1,0,0,0,0,0,0,0,344,1,370.62,FALSE,FALSE,16,N,Y,Business/Commercial,31.933333
1,0,0,0,0,0,0,0,1228,1,433.37,FALSE,FALSE,7,U,Y,U,23.483333
1,0,0,0,0,0,0,0,1191,1,381.33,FALSE,FALSE,28,Y,Y,Business/Commercial,23.1
1,0,0,0,0,0,0,0,586,1,348.55,FALSE,FALSE,43,N,Y,Business/Commercial,39.733333
1,0,0,0,0,0,0,0,738,2,142.61,FALSE,FALSE,170,Y,Y,Business/Commercial,44.466667
0,0,0,0,0,1,0,0,1454,3,466.66,FALSE,FALSE,43,Y,Y,Business/Commercial,126.016667
1,0,0,0,0,0,0,0,426,2,425.96,TRUE,FALSE,24,N,Y,Business/Commercial,28.633333
1,0,0,0,0,0,0,0,1620,1,351.3,FALSE,FALSE,11,Y,Y,Business/Commercial,28.683333
1,0,0,0,0,0,0,0,1249,1,112.22,FALSE,FALSE,15,Y,Y,Business/Commercial,35.416667
1,0,0,0,0,0,0,0,515,2,242.33,FALSE,FALSE,32,Y,Y,Business/Commercial,14.25
1,0,0,0,0,0,0,0,2548,6,413.48,FALSE,FALSE,106,Y,Y,Business/Commercial,36.466667
1,0,0,0,0,0,0,0,1684,1,429.48,FALSE,FALSE,63,Y,N,Grocery Warehouse,43
1,0,0,0,0,0,0,0,867,1,117.59,FALSE,FALSE,43,Y,N,Business/Commercial,23.466667
0,0,0,0,0,1,0,0,1564,1,445,FALSE,FALSE,34,N,Y,Business/Commercial,19.4
0,0,0,0,0,1,0,0,1473,1,177.33,FALSE,FALSE,41,Y,Y,Business/Commercial,32.4
1,0,0,0,0,0,0,0,7874,3,353.83,FALSE,FALSE,25,Y,Y,Grocery Warehouse,30.75
0,0,0,0,0,3,0,0,14338,5,903.7,FALSE,FALSE,26,Y,Y,Business/Commercial,49.083333
0,0,0,0,0,3,0,0,480,3,143.67,FALSE,FALSE,26,N,Y,Business/Commercial,43.15
0,0,0,0,0,3,0,0,5097,3,469.51,FALSE,FALSE,56,Y,Y,Business/Commercial,40.533333
1,0,0,0,0,0,0,0,3595,2,312.77,FALSE,FALSE,53,Y,Y,Business/Commercial,21.566667
0,0,0,0,0,1,0,0,1305,2,453.44,FALSE,FALSE,115,Y,Y,Business/Commercial,99.633333
1,0,0,0,0,0,0,0,927,1,293.4,FALSE,FALSE,8,Y,Y,Business/Commercial,64.733333
0,0,0,0,0,1,0,0,1501,1,170,FALSE,FALSE,92,N,Y,Business/Commercial,52.5
1,0,0,0,0,0,0,0,248,0,332.33,TRUE,FALSE,10,N,N,Business/Commercial,21.533333
0,0,0,0,0,2,0,0,1125,2,330.17,FALSE,FALSE,95,N,Y,Business/Commercial,19.5
1,0,0,0,0,0,0,0,1613,2,322.12,FALSE,FALSE,31,Y,Y,Business/Commercial,28.983333
1,0,0,0,0,0,0,0,1600,1,270.62,FALSE,FALSE,18,Y,Y,Business/Commercial,61.033333
0,0,0,0,0,2,0,0,9423,5,740.85,FALSE,FALSE,184,Y,Y,Business/Commercial,68.7
1,0,0,0,0,0,0,0,846,1,392.8,FALSE,FALSE,61,N,N,Business/Commercial,26
0,0,0,0,0,1,0,0,4923,2,218.84,FALSE,FALSE,34,N,Y,Business/Commercial,31.116667
1,0,0,0,0,0,0,0,590,1,210.55,TRUE,FALSE,19,N,N,Business/Commercial,19.783333
2,0,0,0,0,0,0,0,2102,2,607.14,FALSE,FALSE,34,N,Y,Business/Commercial,41.05
1,0,0,0,0,0,0,0,976,1,281.19,FALSE,FALSE,30,N,N,Business/Commercial,17.45
1,0,0,0,0,0,0,0,869,1,388.62,FALSE,FALSE,13,N,N,Business/Commercial,45.05
6,0,0,0,0,0,0,0,9107,9,268.42,FALSE,FALSE,165,N,Y,Business/Commercial,43.2
1,0,0,0,0,0,0,0,1176,1,366.56,FALSE,FALSE,55,Y,Y,Business/Commercial,24.833333
1,0,0,0,0,0,0,0,1310,2,285.81,TRUE,FALSE,18,N,Y,Business/Commercial,16.4
1,0,0,0,0,0,0,0,1301,1,484.08,FALSE,FALSE,12,N,Y,Business/Commercial,22.383333
1,0,0,0,0,0,0,0,1132,1,128.49,FALSE,FALSE,12,Y,Y,Business/Commercial,48.533333
0,0,0,0,0,1,0,0,5889,2,450.66,FALSE,FALSE,105,N,Y,Business/Commercial,22.866667
1,0,0,0,0,0,0,0,3237,2,530.8,FALSE,FALSE,31,Y,Y,Business/Commercial,45.433333
1,0,0,0,0,0,0,0,5741,2,494.51,FALSE,FALSE,30,N,Y,Business/Commercial,22.166667
0,0,0,0,0,1,0,0,2231,2,236.73,TRUE,FALSE,94,Y,Y,Business/Commercial,31.366667
0,0,0,0,0,2,0,0,1348,2,115.83,FALSE,FALSE,193,Y,Y,Business/Commercial,27.1
3,0,0,0,0,0,0,0,1767,3,339.33,FALSE,FALSE,278,Y,N,Business/Commercial,37.483333
1,0,0,0,0,0,0,0,7186,7,569.66,FALSE,FALSE,13,Y,Y,Business/Commercial,44.25
0,0,0,0,0,1,0,0,1950,2,525.4,FALSE,FALSE,106,Y,Y,Business/Commercial,39.316667
1,0,0,0,0,0,0,0,1122,1,340,FALSE,FALSE,78,Y,Y,Distribution Center,35.633333
1,0,0,0,0,0,0,0,535,1,486.33,FALSE,FALSE,21,Y,Y,Business/Commercial,34.5
1,0,0,0,0,0,0,0,808,0,416.16,TRUE,FALSE,17,N,Y,Business/Commercial,20.15
0,0,0,0,0,1,0,0,940,1,95.75,FALSE,FALSE,57,N,Y,Business/Commercial,28.566667
2,0,0,0,0,0,0,0,1490,2,349.88,FALSE,FALSE,166,Y,Y,Distribution Center,37.783333
1,0,0,0,0,0,0,0,1133,1,557.66,FALSE,FALSE,48,N,N,Business/Commercial,32.116667
1,0,0,0,0,0,0,0,4132,6,846,FALSE,FALSE,10,Y,Y,Business/Commercial,43.516667
4,0,0,0,0,0,0,0,1603,6,619.74,FALSE,FALSE,81,Y,Y,Business/Commercial,40.616667
1,0,0,0,0,0,0,0,551,1,167.22,FALSE,FALSE,22,Y,Y,Distribution Center,37.783333
1,0,0,0,0,0,0,0,1308,2,340.74,FALSE,FALSE,21,N,Y,Business/Commercial,33.216667
0,0,0,0,0,3,0,0,9162,5,619.68,FALSE,FALSE,112,Y,Y,Business/Commercial,46.7
0,0,0,0,0,7,0,0,10028,12,981.93,FALSE,FALSE,231,Y,Y,Business/Commercial,50.783333
0,0,0,0,0,2,0,0,1410,2,202.68,FALSE,FALSE,38,Y,Y,Business/Commercial,23.95
1,0,0,0,0,0,0,0,1833,3,411.77,FALSE,FALSE,122,N,Y,Business/Commercial,38.35
1,0,0,0,0,0,0,0,489,1,186,FALSE,FALSE,11,Y,N,Business/Commercial,29.183333
1,0,0,0,0,0,0,0,1163,1,327.31,FALSE,FALSE,39,Y,Y,Government Sites: Military,26.983333
1,0,0,0,0,0,0,0,913,1,271.39,FALSE,FALSE,20,Y,Y,Business/Commercial,24.05
1,0,0,0,0,0,0,0,141,2,523.11,FALSE,FALSE,73,Y,Y,Business/Commercial,24.533333
0,0,0,0,0,1,0,0,4655,0,968.88,FALSE,FALSE,73,N,Y,Business/Commercial,47.033333
1,0,0,0,0,0,0,0,1045,1,204.99,FALSE,FALSE,17,Y,Y,Distribution Center,31.7
1,0,0,0,0,0,0,0,1409,3,421.42,FALSE,FALSE,19,Y,Y,Business/Commercial,25.3
1,0,0,0,0,0,0,0,724,1,490.66,FALSE,FALSE,31,N,Y,Business/Commercial,26.833333
1,0,0,0,0,0,0,0,1004,1,182.65,FALSE,FALSE,31,N,Y,Business/Commercial,30.216667
10,0,0,0,0,0,0,0,10516,30,1067.81,FALSE,FALSE,152,Y,Y,Business/Commercial,44.233333
0,0,0,0,0,1,0,0,7758,12,1061.39,FALSE,FALSE,410,Y,Y,Distribution Center,48.616667
1,0,0,0,0,0,0,0,1535,1,204,FALSE,FALSE,39,Y,Y,Business/Commercial,18.566667
1,0,0,0,0,0,0,0,1527,1,71.52,FALSE,FALSE,16,N,N,Business/Commercial,39.05
0,0,0,0,0,9,0,0,5556,11,541.53,FALSE,FALSE,241,Y,Y,Business/Commercial,83
1,0,0,0,0,0,0,0,1260,1,494.11,FALSE,FALSE,42,N,N,Business/Commercial,73.883333
0,0,0,0,0,1,0,0,7961,5,509.98,TRUE,FALSE,106,Y,Y,Business/Commercial,65.05
1,0,0,0,0,0,0,0,1645,4,398.01,FALSE,FALSE,40,Y,Y,Business/Commercial,24.5
2,0,0,0,0,0,0,0,150,0,308.05,FALSE,FALSE,245,Y,Y,Distribution Center,17.15
1,0,0,0,0,0,0,0,1121,1,286.53,FALSE,FALSE,12,N,Y,Business/Commercial,17.216667
1,0,0,0,0,0,0,0,5082,4,536.51,FALSE,FALSE,39,Y,Y,Business/Commercial,25.716667
1,0,0,0,0,0,0,0,493,1,142.71,FALSE,FALSE,19,Y,Y,Distribution Center,28.8
1,0,0,0,0,0,0,0,8188,3,492,TRUE,FALSE,19,N,Y,Business/Commercial,36.5
0,0,0,0,0,3,0,0,1821,8,724.99,FALSE,FALSE,186,Y,Y,Business/Commercial,35.483333
1,0,0,0,0,0,0,0,1120,0,499.34,FALSE,FALSE,38,N,Y,Business/Commercial,32.9
1,0,0,0,0,0,0,0,563,1,111.3,FALSE,FALSE,10,N,Y,Business/Commercial,19.283333
1,0,0,0,0,0,0,0,1134,1,424.31,FALSE,FALSE,23,Y,N,Business/Commercial,38.783333
0,0,0,0,0,1,0,0,1113,1,423.25,FALSE,FALSE,102,Y,Y,Business/Commercial,51.533333
0,0,0,0,0,1,0,0,3031,1,151.93,FALSE,FALSE,38,N,Y,Business/Commercial,31.233333
1,0,0,0,0,0,0,0,1590,1,349.07,FALSE,FALSE,19,Y,Y,Business/Commercial,44.316667
0,0,0,0,0,6,0,0,2666,6,378.26,FALSE,FALSE,44,Y,Y,Business/Commercial,60.066667
1,0,0,0,0,0,0,0,1464,2,594.66,FALSE,FALSE,16,N,Y,Business/Commercial,17.866667
0,0,0,0,0,1,0,0,242,1,529.52,FALSE,FALSE,65,Y,Y,Business/Commercial,36.55
1,0,0,0,0,0,0,0,670,1,429.25,FALSE,FALSE,8,N,Y,Business/Commercial,36.5
0,0,0,0,0,1,0,0,3565,3,272.49,FALSE,FALSE,92,Y,Y,Business/Commercial,45.016667
1,0,0,0,0,0,0,0,1654,2,345.33,FALSE,FALSE,84,N,N,Business/Commercial,49.666667
3,0,0,0,0,0,0,0,1655,3,119.5,FALSE,FALSE,103,N,Y,Business/Commercial,50.966667
1,0,0,0,0,0,0,0,1502,2,377,FALSE,FALSE,28,Y,N,Business/Commercial,17.233333
0,0,0,0,0,14,0,0,11780,30,1009.71,FALSE,FALSE,169,Y,Y,Business/Commercial,178.266667
1,0,0,0,0,0,0,0,1330,2,314.83,FALSE,FALSE,63,Y,Y,Business/Commercial,22.516667
0,0,0,0,0,1,0,0,11990,14,1560.91,FALSE,FALSE,132,Y,N,Business/Commercial,92.766667
1,0,0,0,0,0,0,0,1312,1,625,FALSE,FALSE,30,Y,Y,Business/Commercial,21.45
0,0,0,0,0,1,0,0,1172,1,279.09,FALSE,FALSE,105,Y,Y,Business/Commercial,65.433333
0,0,0,0,0,1,0,0,1097,1,432,FALSE,FALSE,72,Y,Y,Business/Commercial,29.8
0,0,0,0,0,11,0,0,29943,24,1677.24,FALSE,FALSE,67,Y,Y,Business/Commercial,127.066667
0,0,0,0,0,12,0,0,5301,13,678.04,FALSE,FALSE,139,Y,Y,Business/Commercial,40
0,0,0,0,0,10,0,0,8338,12,597.93,FALSE,FALSE,230,Y,Y,Business/Commercial,60.166667
1,0,0,0,0,0,0,0,305,1,508.87,FALSE,FALSE,13,Y,N,Business/Commercial,27.283333
1,0,0,0,0,0,0,0,535,1,215.23,FALSE,FALSE,12,N,Y,Business/Commercial,21.3
0,0,0,0,0,1,0,0,1051,1,382.08,FALSE,FALSE,41,Y,Y,Business/Commercial,33.716667
1,0,0,0,0,0,0,0,5784,9,1020.03,FALSE,FALSE,60,Y,Y,Business/Commercial,45.333333
0,0,0,0,0,1,0,0,1537,2,337.33,FALSE,FALSE,31,Y,Y,Business/Commercial,24.116667
0,0,0,0,0,5,0,0,25975,11,794.04,TRUE,FALSE,171,Y,Y,Grocery Warehouse,50.933333
0,0,0,0,0,3,0,0,1801,3,649.67,FALSE,FALSE,118,Y,Y,Business/Commercial,38.916667
0,0,0,0,0,1,0,0,947,1,113.98,FALSE,FALSE,42,Y,Y,Business/Commercial,34.716667
0,0,0,0,0,1,0,0,1054,0,320,FALSE,FALSE,28,Y,Y,Business/Commercial,59.783333
1,0,0,0,0,0,0,0,2722,2,111.22,FALSE,FALSE,91,Y,N,Business/Commercial,81.416667
2,0,0,0,0,0,0,0,3596,1,548.75,FALSE,FALSE,123,Y,Y,Business/Commercial,43.216667
1,0,0,0,0,0,0,0,1227,2,616.9,FALSE,FALSE,58,N,Y,Business/Commercial,19.95
1,0,0,0,0,0,0,0,10011,0,1565.83,FALSE,FALSE,16,N,N,Construction/Utility Sites: Construction Site,147.266667
1,0,0,0,0,9,0,0,3053,8,1550.66,FALSE,FALSE,291,Y,Y,Business/Commercial,88.25
1,0,0,0,0,0,0,0,5443,2,260.81,FALSE,FALSE,19,N,Y,Business/Commercial,36.516667
0,0,0,0,0,1,0,0,1296,1,394.93,FALSE,FALSE,61,N,Y,Business/Commercial,33.016667
2,0,0,0,0,0,0,0,1605,2,157.47,FALSE,FALSE,174,Y,Y,Business/Commercial,35.3
0,0,0,0,0,1,0,0,468,1,257.13,FALSE,FALSE,66,Y,Y,Business/Commercial,24.05
0,0,0,0,0,1,0,0,1180,1,311,FALSE,FALSE,74,Y,Y,Business/Commercial,19.116667
1,0,0,0,0,0,0,0,1504,1,435.75,FALSE,FALSE,14,Y,N,Business/Commercial,26.75
0,0,0,0,0,2,0,0,1914,2,302.73,FALSE,FALSE,80,Y,Y,Business/Commercial,50.833333
0,0,0,0,0,3,0,0,497,0,252.26,TRUE,FALSE,182,Y,Y,Business/Commercial,49.85
1,0,0,0,0,0,0,0,2911,4,922,FALSE,FALSE,16,Y,Y,Business/Commercial,52.3
1,0,0,0,0,0,0,0,2816,1,135.82,FALSE,FALSE,20,N,Y,Business/Commercial,14.183333
1,0,0,0,0,0,0,0,2368,1,200.66,FALSE,FALSE,11,Y,Y,Business/Commercial,38.133333
5,0,0,0,0,7,0,0,6387,18,1055.75,FALSE,FALSE,156,Y,Y,Business/Commercial,68.316667
0,0,0,0,0,1,0,0,892,1,281.03,FALSE,FALSE,166,Y,Y,Business/Commercial,25.633333
1,0,0,0,0,0,0,0,154,1,132.74,TRUE,FALSE,15,U,N,U,16.266667
4,0,0,0,0,0,0,0,806,4,272.27,FALSE,FALSE,194,Y,Y,Business/Commercial,18.383333
1,0,0,0,0,0,0,0,2597,3,398.71,FALSE,FALSE,13,Y,N,Business/Commercial,22.633333
0,0,0,0,0,1,0,0,325,1,512.45,FALSE,FALSE,124,Y,Y,Business/Commercial,35.366667
0,0,0,0,0,5,0,0,9979,15,506.83,FALSE,FALSE,180,Y,Y,Business/Commercial,113.85
1,0,0,0,0,0,0,0,1163,1,138.45,FALSE,FALSE,174,Y,Y,Business/Commercial,30.8
0,0,0,0,0,3,0,0,4054,6,733.54,FALSE,FALSE,15,Y,Y,Business/Commercial,41.383333
1,0,0,0,0,0,0,0,583,1,252,FALSE,FALSE,35,Y,Y,Business/Commercial,36.016667
0,0,0,0,0,1,0,0,380,1,527.77,FALSE,FALSE,10,Y,Y,Business/Commercial,34.7
1,0,0,0,0,0,0,0,1185,1,422.61,FALSE,FALSE,29,Y,Y,Business/Commercial,25.75
1,0,0,0,0,0,0,0,577,1,409.57,FALSE,FALSE,16,N,Y,Business/Commercial,29.933333
1,0,0,0,0,0,0,0,472,1,347.33,FALSE,FALSE,17,N,N,"Residential: School (K-12), Pre-School, Day Care",18.466667
0,0,0,0,0,2,0,0,20510,8,532.04,FALSE,FALSE,80,Y,Y,Business/Commercial,50.616667
0,0,0,0,0,4,0,0,25697,16,1049.97,FALSE,FALSE,162,Y,Y,Business/Commercial,71.5
1,0,0,0,0,0,0,0,455,0,116.23,FALSE,FALSE,154,N,Y,Business/Commercial,35.55
0,0,0,0,0,1,0,0,723,1,314.18,FALSE,FALSE,14,Y,Y,Business/Commercial,44.516667
0,0,0,0,0,1,0,0,2145,3,141.18,FALSE,FALSE,58,Y,Y,Business/Commercial,30.5
0,0,0,0,0,1,0,0,715,1,359.51,FALSE,FALSE,109,Y,Y,Business/Commercial,43.283333
0,0,0,0,0,1,0,0,2550,2,194.23,FALSE,FALSE,65,Y,Y,Business/Commercial,46.833333
1,0,0,0,0,0,0,0,1065,1,126.37,FALSE,FALSE,13,Y,N,Business/Commercial,30.366667
1,0,0,0,0,0,0,0,941,1,471.44,FALSE,FALSE,18,Y,N,Business/Commercial,20.35
1,0,0,0,0,0,0,0,618,1,75.45,FALSE,FALSE,17,N,Y,Business/Commercial,42.616667
1,0,0,0,0,0,0,0,1272,1,95.16,FALSE,FALSE,12,U,Y,U,19.85
1,0,0,0,0,0,0,0,956,1,212.46,FALSE,FALSE,15,Y,Y,Distribution Center,24.583333
0,0,0,0,0,1,0,0,977,1,200,FALSE,FALSE,17,Y,Y,Business/Commercial,35.45
1,0,0,0,0,0,0,0,5391,2,529.92,FALSE,FALSE,94,Y,Y,Business/Commercial,37
1,0,0,0,0,0,0,0,3499,2,315.77,FALSE,FALSE,10,Y,Y,Business/Commercial,39
1,0,0,0,0,0,0,0,953,1,129.66,FALSE,FALSE,25,Y,Y,Business/Commercial,18.55
0,0,0,0,0,1,0,0,681,2,300,FALSE,FALSE,52,Y,Y,Business/Commercial,36.95
0,0,0,0,0,1,0,0,824,0,142.92,FALSE,FALSE,111,Y,Y,Distribution Center,23.316667
0,0,0,0,0,1,0,0,1006,0,148.84,FALSE,FALSE,39,Y,Y,Business/Commercial,45.55
1,0,0,0,0,0,0,0,1569,1,501.78,FALSE,FALSE,23,N,Y,Business/Commercial,25.816667
1,0,0,0,0,0,0,0,1191,1,457.41,FALSE,FALSE,31,Y,Y,Business/Commercial,33.933333
1,0,0,0,0,0,0,0,3266,6,509.27,FALSE,FALSE,63,Y,Y,Business/Commercial,29.533333
1,0,0,0,0,0,0,0,690,1,400.3,FALSE,FALSE,31,N,N,Residential: Public Storage Facility,41.05
2,0,0,0,0,0,0,0,1490,3,149.28,FALSE,FALSE,107,Y,Y,Business/Commercial,20.366667
1,0,0,0,0,0,0,0,1137,1,223.66,FALSE,FALSE,47,Y,Y,Business/Commercial,33.433333
1,0,0,0,0,0,0,0,1084,1,199.87,FALSE,FALSE,39,N,Y,Business/Commercial,22.966667
0,0,0,0,0,1,0,0,1172,1,95.65,FALSE,FALSE,92,Y,Y,Business/Commercial,28.616667
4,0,0,0,0,0,0,0,16208,7,557.2,FALSE,FALSE,247,Y,Y,Business/Commercial,16.583333
1,0,0,0,0,0,0,0,864,1,453.77,FALSE,FALSE,31,Y,Y,Business/Commercial,23.783333
2,0,0,0,0,0,0,0,13373,5,434.09,FALSE,FALSE,181,Y,Y,Business/Commercial,33.816667
1,0,0,0,0,0,0,0,795,3,317.81,FALSE,FALSE,31,Y,Y,Business/Commercial,28.283333
1,0,0,0,0,0,0,0,2315,3,438.22,FALSE,FALSE,30,Y,Y,Business/Commercial,36.466667
1,0,0,0,0,0,0,0,948,1,474.66,FALSE,FALSE,13,Y,Y,Business/Commercial,27.7
0,0,0,0,0,2,0,0,2951,3,231.13,FALSE,FALSE,258,Y,Y,Business/Commercial,38.483333
1,0,0,0,0,0,0,0,1032,1,59.71,FALSE,FALSE,53,Y,Y,Business/Commercial,36.916667
1,0,0,0,0,0,0,0,560,0,71.59,FALSE,FALSE,18,Y,N,Business/Commercial,26.45
0,0,0,0,0,1,0,0,252,1,195.25,FALSE,FALSE,37,N,Y,Business/Commercial,22.15
0,0,0,0,0,1,0,0,1232,1,215.53,FALSE,FALSE,26,N,Y,Business/Commercial,29.616667
1,0,0,0,0,0,0,0,1511,2,369.02,FALSE,FALSE,13,N,Y,Business/Commercial,27.266667
1,0,0,0,0,0,0,0,608,1,152.1,FALSE,FALSE,30,Y,Y,Business/Commercial,17.883333
1,0,0,0,0,0,0,0,201,2,121.91,FALSE,FALSE,33,Y,Y,Business/Commercial,24.016667
0,0,0,0,0,2,0,0,5103,13,700.58,FALSE,FALSE,227,Y,Y,Business/Commercial,70.133333
1,0,0,0,0,0,0,0,852,3,436.78,FALSE,FALSE,92,Y,Y,Business/Commercial,29.366667
0,0,0,0,0,2,0,0,2139,2,572.55,FALSE,FALSE,50,Y,N,Distribution Center,66.966667
0,0,0,0,0,1,0,0,431,1,133.22,FALSE,FALSE,52,Y,N,Distribution Center,64.966667
1,0,0,0,0,0,0,0,1905,2,188.51,FALSE,FALSE,14,N,N,Business/Commercial,42
3,0,0,0,0,0,0,0,1729,3,597.48,FALSE,FALSE,80,N,Y,Business/Commercial,34.983333
1,0,0,0,0,0,0,0,1431,1,284.14,FALSE,FALSE,13,Y,N,Business/Commercial,15.933333
0,0,0,0,0,1,0,0,436,1,405.58,FALSE,FALSE,84,Y,Y,Business/Commercial,19
1,0,0,0,0,0,0,0,703,1,203.5,FALSE,FALSE,21,Y,Y,Business/Commercial,38.1
7,0,0,0,0,0,0,0,11175,33,943.65,FALSE,FALSE,1179,Y,Y,Business/Commercial,34.366667
1,0,0,0,0,0,0,0,899,1,508.19,FALSE,FALSE,53,Y,Y,Business/Commercial,37.966667
1,0,0,0,0,0,0,0,1930,1,338.72,FALSE,FALSE,26,N,Y,Business/Commercial,25.016667
0,0,0,0,0,1,0,0,3795,2,149.13,FALSE,FALSE,39,Y,Y,Business/Commercial,52.683333
0,0,0,0,0,1,0,0,2745,6,282,FALSE,FALSE,98,Y,Y,Business/Commercial,51.583333
0,0,0,0,0,1,0,0,2141,4,747.87,FALSE,FALSE,173,Y,Y,Business/Commercial,31.933333
8,0,0,0,0,0,0,0,7051,11,914.28,FALSE,FALSE,129,Y,Y,Distribution Center,61.9
1,0,0,0,0,0,0,0,99,1,425.75,FALSE,FALSE,14,U,N,U,26.75
4,0,0,0,0,0,0,0,6063,21,1365.05,FALSE,FALSE,815,Y,Y,Distribution Center,117.2
0,0,0,0,0,1,0,0,6311,8,453.73,FALSE,FALSE,76,Y,Y,Business/Commercial,34.833333
1,0,0,0,0,0,0,0,318,1,480.38,FALSE,FALSE,33,Y,Y,Business/Commercial,31.133333
0,0,0,0,0,1,0,0,325,1,177,FALSE,FALSE,21,Y,Y,Business/Commercial,33.983333
1,0,0,0,0,0,0,0,1752,1,204.95,FALSE,FALSE,18,Y,Y,Distribution Center,67.733333
0,0,0,0,0,3,0,0,2364,3,204.54,FALSE,TRUE,38,Y,Y,Business/Commercial,50.9
0,0,0,0,0,2,0,0,11229,7,732.43,FALSE,FALSE,204,Y,Y,Business/Commercial,27.033333
1,0,0,0,0,0,0,0,895,1,98.4,FALSE,FALSE,15,N,Y,Business/Commercial,17.933333
6,0,0,0,0,0,0,0,1331,6,640.41,FALSE,FALSE,146,Y,Y,Business/Commercial,58.483333
0,0,0,0,0,6,0,0,1761,8,534.03,FALSE,FALSE,196,Y,Y,Business/Commercial,82.133333
1,0,0,0,0,0,0,0,1999,2,391.55,FALSE,FALSE,39,Y,Y,Business/Commercial,32
4,0,0,0,0,0,0,0,4368,8,463.21,FALSE,FALSE,582,Y,Y,Distribution Center,75.4
1,0,0,0,0,0,0,0,732,1,338.33,FALSE,FALSE,29,N,Y,Business/Commercial,12.65
1,0,0,0,0,0,0,0,2570,2,228.12,FALSE,FALSE,44,Y,Y,Business/Commercial,27.083333
1,0,0,0,0,0,0,0,7632,4,732.66,FALSE,FALSE,16,Y,Y,Business/Commercial,55.233333
0,0,0,0,0,1,0,0,5383,2,634.4,FALSE,FALSE,51,Y,Y,Business/Commercial,38.6
1,0,0,0,0,0,0,0,559,1,86.33,FALSE,FALSE,6,U,N,U,30.066667
0,0,0,0,0,3,0,0,1802,4,322.02,FALSE,FALSE,69,Y,Y,Business/Commercial,19.65
1,0,0,0,0,0,0,0,2972,1,203.32,FALSE,TRUE,107,Y,Y,Business/Commercial,25.883333
2,0,0,0,0,0,0,0,2368,2,285.52,FALSE,FALSE,76,Y,Y,Business/Commercial,46.933333
3,0,0,0,0,0,0,0,8879,9,735.05,FALSE,FALSE,75,Y,Y,Business/Commercial,26.533333
1,0,0,0,0,0,0,0,2456,2,156.57,FALSE,FALSE,37,Y,Y,Business/Commercial,26.266667
1,0,0,0,0,0,0,0,2469,1,311.67,FALSE,FALSE,17,N,Y,Business/Commercial,28.166667
0,0,0,0,0,3,0,0,4870,4,612.43,FALSE,FALSE,29,Y,Y,Distribution Center,78.033333
1,0,0,0,0,0,0,0,1600,1,215.3,FALSE,FALSE,33,Y,Y,Business/Commercial,28.383333
1,0,0,0,0,0,0,0,572,1,382.27,FALSE,FALSE,69,Y,Y,Business/Commercial,38.633333
