DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,996,7,385.05,FALSE,FALSE,77,N,Y,Business/Commercial,23.65
0,0,0,0,0,1,0,0,1936,3,470.77,FALSE,FALSE,93,Y,Y,Business/Commercial,20.883333
1,0,0,0,0,0,0,0,1736,1,550.34,FALSE,FALSE,23,Y,Y,Business/Commercial,32.916667
0,0,0,0,0,1,0,0,791,1,389,FALSE,FALSE,122,Y,Y,Business/Commercial,29.166667
0,0,0,0,0,2,0,0,1660,2,285.19,FALSE,FALSE,110,Y,Y,Business/Commercial,47.85
1,0,0,0,0,0,0,0,523,2,251.05,FALSE,FALSE,29,Y,Y,Business/Commercial,21.833333
0,0,0,0,0,3,0,0,1942,3,84.03,FALSE,FALSE,69,Y,Y,Business/Commercial,42.266667
1,0,0,0,0,0,0,0,1180,2,635.28,FALSE,FALSE,35,Y,Y,Business/Commercial,45.866667
1,0,0,0,0,0,0,0,870,0,88,TRUE,FALSE,30,Y,N,Business/Commercial,36.9
0,0,0,0,0,4,0,0,14177,10,684.76,FALSE,FALSE,61,Y,Y,Business/Commercial,75.583333
1,0,0,0,0,0,0,0,817,1,474.33,FALSE,FALSE,19,Y,Y,Business/Commercial,12.966667
3,0,0,0,0,0,0,0,2491,4,389.01,FALSE,FALSE,135,Y,Y,Business/Commercial,30.866667
0,0,0,0,0,4,0,0,14665,10,826.87,FALSE,FALSE,124,Y,Y,Business/Commercial,57.283333
1,0,0,0,0,0,0,0,514,1,346.77,FALSE,FALSE,21,N,Y,Business/Commercial,31.133333
0,0,0,0,0,1,0,0,2917,4,449,FALSE,FALSE,26,Y,Y,Business/Commercial,24.866667
2,0,0,0,0,0,0,0,2046,3,584.19,FALSE,FALSE,54,Y,Y,Business/Commercial,41.75
0,0,0,0,0,1,0,0,469,1,84.21,FALSE,FALSE,15,Y,N,Business/Commercial,39.2
1,0,0,0,0,0,0,0,3706,8,791.2,FALSE,FALSE,11,Y,Y,Business/Commercial,35.5
